Store Names,Store Type,Location,Description
Tawan,FOOD,3F,"Ta Wan berdiri sejak tahun 1996 dan memiliki 17 cabang di seluruh Indonesia. Bubur kami yang legendaris menjadi menu andalan kami yang dilengkapi dengan menu lainnya seperti Sapi Lada Hitam, Ayam Kung Pao, Lumpia Li Hong Kian, Ayam Goreng Ta Wan, Buncis Cah Sapi, Jamur Goreng Krispi,dan masih banyak lagi. Sejak outlet pertama kami berdiri, kepuasan pelanggan menjadi prioritas utama dengan memberikan kualitas dan pelayanan terbaik bagi pelanggan."
Thai I Love You,FOOD,GF,"Menu ini dibuat oleh Chef Thailand yang telah bekerja dengan grup selama lebih dari 10 tahun. Makanan yang dimasak dengan sempurna dan telah disesuaikan agar sesuai dengan selera lokal. Dari daftar minuman, Thai I Love You menawarkan pilihan mocktail yang menggoda termasuk Banana Bonkers, Green Temptation dan Orange Blossom."
The Athlete's Foot,FASHION,1F,"BE YOUR PASSION, LIVE YOUR STYLE"
The Body Shop,GOODS,GF,"The Body Shop adalah perusahaan waralaba terbesar kedua di dunia yang terkenal dengan produk-produk yang menggunakan zat herbal mulai dari Body Butter, Peppermint Foot Lotion, dan Hemp."
The Executive  ,FASHION,1F,"Memulai perjalanannya sebagai merek karier pada tahun 1984, The Executive telah berkembang menjadi merek utama Fashion saat ini. Menjadi bagian dari grup Delamibrands, Eksekutif memenuhi aspirasi atas aspirasi internasional dengan standardisasi kualitas internasional, mempertahankan prestisenya atas distribusi massa di seluruh Indonesia.

Sekarang tersedia di 60 toko yang berdiri bebas dan lebih dari 100 counter di department store terkemuka. Dengan harga terjangkau yang tajam, The Executive menawarkan nilai terbaik untuk pakaian fashion."
The Face Shop,GOODS,GF,
The SAEM ,GOODS,GF,"Saem Terinspirasi oleh Langit, Tanah, Angin, Awan, Sinar Matahari, Air, Pohon, dan Bunga di mana-mana di Dunia. Kami selalu menghargai Keindahan Alam. Ekologi Alam di seluruh dunia menginspirasi Saem."
Tori - Yo,FOOD,GF,
Tous Les Jours,FOOD,GF,"Tous Les Jours adalah waralaba roti Korea Selatan yang dimiliki oleh CJ Foodville, grup bisnis CJ Group. Tous Les Jours berarti 'sehari-hari' dalam bahasa Prancis. Tous Les Jours adalah toko roti ""Asia-Prancis"" yang menyajikan pilihan barang dan minuman roti. Ini memiliki lebih dari 1.300 lokasi di Asia dan Amerika Serikat."
Toyofuku,FOOD,GF,Toyofuku merupakan sebuah restoran terkenal di daerah Asakusa Tokyo Jepang yang menyajikan Gyoza sebagai salah satu menu andalan.
Toys City ,GOODS,2F,"Toys City sudah ada sejak tahun 1990 dan menjadi toko mainan favorit yang disukai anak dan keluarga, terbukti dengan terpilihnya Toys City menjadi Top Brand for Kids untuk tahun 2014 & 2015. Info lebih lanjut seputar Toys City bisa diakses via website www.toyscity.co.id"
Traffic ,FASHION,2F,
Uchino Shokudo,FOOD,GF,
UNIQLO ,FASHION,1F,"UNIQLO adalah perusahaan pakaian jadi, yang awalnya didirikan di Yamaguchi, Jepang pada tahun 1949 sebagai produsen tekstil. Sekarang ini adalah merek global dengan lebih dari 1000 toko di seluruh dunia. Mendefinisi ulang pakaian, dengan fokus pada kualitas dan tekstil yang telah tak tergoyahkan sejak asal perusahaan pada tahun 1949."
Urban Icon ,GOODS,1F,"Urban Icon adalah toko aksesoris utama yang menghadirkan berbagai merek jam tangan dan barang kulit di Indonesia. Customer dapat menemukan merek Urban Lifestyle di toko kami seperti Fosil, Liebeskind Berlin, Diesel, Marc oleh Marc Jacobs, Michael Kors, Karl Lagerfeld, Emporio Armani, Rip Curl, dan Melie Bianco. Berbagai merek ini memiliki gaya yang berbeda yang mewakili preferensi customer kami, namun semuanya memiliki nilai yang sama dalam memberikan gaya high street yang trendi dengan kualitas terbaik. Dengan lebih dari 20 toko di seluruh Indonesia, kami memiliki filosofi untuk membuat orang merasa istimewa dan menakjubkan."
Urban Life,GOODS,GF,"Menghadirkan pilihan produk gadget accessories, audio, lifestyle dan essentials travel dalam konsep toko yang menarik dan menawarkan pengalaman berbelanja yang nyaman, lengkap dan berkualitas. Dapatkan berbagai produk audio internasional yang lengkap seperti Bose, Marshall, Beats dan Urbanear serta pilihan gadget accessories berkualitas seperti Moshi, Ozaki, Adonit, Jabra dan Hellolulu."
Victoria Secret,GOODS,GF,"Victoria's Secret Beauty & Accessories menawarkan pelanggan akses ke beragam produk Victoria's Secret Beauty terlaris, mulai dari wewangian prestise, perawatan tubuh hingga aksesori."
Vidvie ,GOODS,3F,"VIDVIE adalah merek aksesoris smartphone internasional yang berasal dari Hong Kong dan telah hadir di 75 negara di Asia, Eropa, Amerika dan Afrika.

Kini VIDVIE hadir di AEON MALL BSD CITY, Lantai 3."
Wacoal ,FASHION,2F,
Wardah,GOODS,1F,Wardah adalah merek kosmetik halal pertama di Indonesia yang lahir dari perusahaan induk Paragon Technology and Innovation (PTI). Merek ini mengklaim mengendalikan sekitar 30% dari segmen rias pasar dan diidentifikasi sebagai satu-satunya merek kosmetik Indonesia yang mencatat pertumbuhan penjualan lebih dari 20% pada 2015-2016.
Wingstop ,FOOD,3F,"Wingstop merupakan restoran chicken wings nomor 1 dari Amerika Serikat yang menawarkan 10 rasa unik. Tidak hanya bagian sayap, Wingstop juga menyediakan drumstick, strips (daging ayam bagian dada), chicken burger dan lainnya. Wingstop menyajikan hidangan yang ‘freshly made’, artinya hidangan baru akan disiapkan ketika dipesan dan it’s worth the wait. Wingstop menghadirkan sensasi rasa yang berdimensi dan sangat cocok bagi pecinta kuliner yang tentunya akan mendapatkan pengalaman rasa. GET AT IT!"
Wood ,FASHION,1F,Fashion brand berpengalaman khusus pria yang telah hadir di industri fashion Indonesia sejak 1979. Kini WOOD hadir dengan rangkaian produk fashion yang lengkap dengan konsep baru yang mengutamakan gaya hidup urban gentleman dan memiliki aspirasi akan fashion pria muda berkualitas.
Yayang,FASHION,2F,Grand opening Mei 2015. Yayang lebih luas dan lebih lengkap.
YEN PAO ,FOOD,3F,Makanan ringan tradisional untuk seluruh keluarga! Anda harus mencoba Bakpao Yen Pao.
Yogo Yogurt,FOOD,3F,"Minuman yogurt juice yang enak, sehat, dan guilt free karena rendah kalori. YOGO menawarkan perpaduan buah asli dan yogurt yang dapat meningkatkan mood dan semangat dalam menjalani aktivitasmu."
Yole,FOOD,GF,Tingkatkan hari Anda dengan Yole.
Yomie's Rice X Yogurt,FOOD,GF,We are the purple rice x yogurt drink
Yoshinoya,FOOD,GF,"Yoshinoya (吉野家?, TYO: 9861) adalah jaringan rumah makan waralaba gyudon (beef bowl) terbesar di Jepang. Slogan Yoshinoya adalah ""Enak, murah, cepat"" (うまい、やすい、はやい umai, yasui, hayai?) yang mencerminkan pentingnya pelanggan, layanan secara pribadi, dan kualitas. Nama populer untuk Yoshinoya adalah yoshigyū (吉牛), singkatan untuk Yoshinoya no gyūdon (吉野家の牛丼, gyūdon-nya Yoshinoya)."
Yuan Market,FASHION,2F,"Kami percaya kami dapat membuat perubahan!

Di Yuan market, kami ingin menjadi pilihan untuk dapat ditempatkan ke dalam posisi brand yang diperhitungkan. Karena itu, kami bekerjasama dengan vendor-vendor terbaik untuk dapat menghasilkan produk dengan kualitas tinggi. Kami ingin berbagi cerita kami, berbagi pengalaman kami, karena itu cara yang terbaik untuk dapat menjadi yang terpercaya."
Yves Rocher,GOODS,GF,Yves Rocher adalah Brand kosmetik dan kecantikan yang mendunia. Didirikan pada tahun 1959 oleh pengusaha Prancis Yves Rocher di La Gacilly. Yves Rocher menemukan bentuk kecantikan baru yang menghormati wanita dan alam. Yves Rocher merupakan satu-satunya brand kosmetik global yang mengontrol seluruh siklus hidup produknya: dari proses bercocok tanam hingga sampai ke 30 juta kliennya. Eksklusifitas ini memungkinkan merek Yves Rocher untuk menurunkan dampak lingkungan dengan memberikan produk berkualitas tinggi kepada setiap wanita dengan harga yang terjangkau.
Zenbu ,FOOD,GF,"Zenbu terkenal dengan menu andalannya yaitu Mozaru, yang merupakan kombinasi antara nasi dengan Katsu dan di lapisi keju mozarella, ditambah berbagai homemade sauce nya dengan berbagai macam pilihan."
Zoomoov,SERVICE,2F,
